id_poste,id_entreprise,titre,description,skills,annee_experience,salaire_min,salaire_max,type_contrat,remote_policy,langues,latitude,longitude
177,71,"Research Engineer, Data Infrastructure","**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise as well as per","[{'name': 'Data lake', 'value': 50.0}, {'name': 'Kubernetes', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Python', 'value': 50.0}]",4,,,"{""permanent"": true}",2.0,,,
178,71,Applied Scientist / Research Engineer - EMEA,"**About Mistral**

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Machine Learning', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'Pytorch', 'value': 50.0}]",0,,,"{""permanent"": true}",2.0,,,
179,71,"Product Manager, Cloud Partnerships","**About Mistral**

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Management', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Motion', 'value': 50.0}]",7,,,"{""permanent"": true}",2.0,,,
180,71,Product Designer - Documentation,"**About Mistral**

At Mistral AI, we believe in the power of AI to simplify tasks, save time and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life. 

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Make', 'value': 50.0}, {'name': 'Figma', 'value': 50.0}, {'name': 'Illustrator', 'value': 50.0}, {'name': 'Scratch', 'value': 50.0}]",5,,,"{""permanent"": true}",2.0,,,
181,71,Product Designer - Mistral Cloud,"**About Mistral**

At Mistral AI, we believe in the power of AI to simplify tasks, save time and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life. 

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Kubernetes', 'value': 50.0}, {'name': 'Management', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Motion', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Scratch', 'value': 50.0}, {'name': 'Serverless', 'value': 50.0}]",7,,,"{""permanent"": true}",2.0,,,
182,71,Social Media Specialist - Writing &amp; Video (US),"**About Mistral**
-----------------

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterpri","[{'name': 'Make', 'value': 50.0}]",3,,,"{""permanent"": true}",2.0,,,
183,71,AI Developer Advocate - Singapore,"**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise as well as per","[{'name': 'Make', 'value': 50.0}]",6,,,"{""permanent"": true}",2.0,,,
184,71,"Technical Program Manager, Engineering","**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Management', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Progress', 'value': 50.0}]",0,,,"{""permanent"": true}",2.0,,,
185,71,"Software Engineer, QA","**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether","[{'name': 'Machine Learning', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Playwright', 'value': 50.0}, {'name': 'Postman', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'Typescript', 'value': 50.0}]",0,,,"{""permanent"": true}",2.0,,,
186,71,"Software Engineer, Knowledge and Search","**About Mistral**

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Python', 'value': 50.0}, {'name': 'C++', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Go', 'value': 50.0}, {'name': 'Helm', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Management', 'value': 50.0}, {'name': 'Rust', 'value': 50.0}, {'name': 'Terraform', 'value': 50.0}]",7,,,"{""permanent"": true}",2.0,,,
187,71,Site Reliability Engineer,"**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether","[{'name': 'Kubernetes', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Terraform', 'value': 50.0}, {'name': 'Bash', 'value': 50.0}, {'name': 'Cloud Computing', 'value': 50.0}, {'name': 'Datadog', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Go', 'value': 50.0}, {'name': 'Grafana', 'value': 50.0}, {'name': 'Prometheus', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'Safe', 'value': 50.0}]",7,,,"{""permanent"": true}",2.0,,,
188,71,Mistral Cloud - Site Reliability Engineer,"About Mistral 
--------------

At Mistral AI, we believe in the power of AI to simplify tasks, save time and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life. 

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise nee","[{'name': 'Make', 'value': 50.0}, {'name': 'Bash', 'value': 50.0}, {'name': 'Datadog', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Go', 'value': 50.0}, {'name': 'Grafana', 'value': 50.0}, {'name': 'Kubernetes', 'value': 50.0}, {'name': 'Prometheus', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'Safe', 'value': 50.0}, {'name': 'Terraform', 'value': 50.0}]",5,,,"{""permanent"": true}",2.0,,,
189,71,"Cybersecurity Engineer, SIEM","**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether","[{'name': 'SIEM', 'value': 50.0}, {'name': 'Go', 'value': 50.0}, {'name': 'Kubernetes', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Management', 'value': 50.0}, {'name': 'Python', 'value': 50.0}]",5,,,"{""permanent"": true}",2.0,,,
